Rank,Pair,Symbol_Y,Symbol_X,Score,Best_Ref_Lookback,RT_Total,RT_Signals,RT_Completion,RT_Annual_Freq,Delta_Beta_Rel,Beta_Mean,WRS_Pct_Fast,WRS_Median_HL,Regime_Quality,Regime_Consistency,ADF_Pvalue,Spread_Kurtosis,Overlap_Days
1,FILUSDT-SNXUSDT,FILUSDT,SNXUSDT,86.28,100,41,54,0.7593,11.176,0.021161,0.747657,0.5789,9.37,4,0.8944,2.5e-05,2.6206,1499
2,AVAXUSDT-FILUSDT,AVAXUSDT,FILUSDT,84.74,100,49,64,0.7656,13.356,0.022058,0.939834,0.5263,9.18,4,0.7938,0.0,3.0074,1499
3,NEARUSDT-POLUSDT,NEARUSDT,POLUSDT,83.33,100,14,22,0.6364,12.089,0.015549,0.794877,0.5,9.97,4,0.8763,0.002844,0.0596,582
4,LTCUSDT-APTUSDT,LTCUSDT,APTUSDT,82.36,100,42,56,0.75,13.721,0.038708,0.427576,0.4667,15.8,4,0.7891,7e-06,0.9089,1277
5,LTCUSDT-ARBUSDT,LTCUSDT,ARBUSDT,82.29,100,30,40,0.75,11.379,0.031826,0.46343,0.4615,10.13,4,0.7764,2e-06,1.6853,1122
6,OPUSDT-SEIUSDT,OPUSDT,SEIUSDT,81.61,100,25,35,0.7143,11.163,0.018732,0.745367,0.4545,11.88,4,0.6831,1e-06,0.8135,977
7,FILUSDT-APTUSDT,FILUSDT,APTUSDT,81.52,180,42,55,0.7636,14.779,0.009788,0.788109,0.5,9.96,4,0.8482,2.7e-05,4.2675,1277
8,ADAUSDT-FILUSDT,ADAUSDT,FILUSDT,81.43,100,28,53,0.5283,7.632,0.026171,0.792889,0.4737,10.12,4,0.8403,0.0,2.5136,1499
9,ATOMUSDT-ARBUSDT,ATOMUSDT,ARBUSDT,81.35,100,34,47,0.7234,12.896,0.019114,0.638164,0.3846,11.21,4,0.8918,4.4e-05,1.3131,1122
10,APTUSDT-SEIUSDT,APTUSDT,SEIUSDT,80.44,100,29,39,0.7436,12.949,0.017045,0.659907,0.3636,11.07,4,0.8151,4e-05,2.1151,977
11,INJUSDT-SEIUSDT,INJUSDT,SEIUSDT,80.39,100,26,36,0.7222,11.609,0.021597,0.749671,0.3636,10.42,4,0.8077,0.0,1.8705,977
12,TIAUSDT-SEIUSDT,TIAUSDT,SEIUSDT,80.1,100,27,36,0.75,13.309,0.026432,0.699549,0.3333,13.07,4,0.8678,0.002311,1.7081,900
13,ATOMUSDT-APTUSDT,ATOMUSDT,APTUSDT,79.75,130,41,55,0.7455,13.764,0.020772,0.61771,0.3333,17.04,4,0.8099,0.001424,1.9795,1277
14,ATOMUSDT-SNXUSDT,ATOMUSDT,SNXUSDT,79.58,100,56,74,0.7568,15.264,0.028278,0.569872,0.3158,11.52,4,0.8688,4e-06,3.0843,1499
15,ICPUSDT-OPUSDT,ICPUSDT,OPUSDT,79.45,100,46,65,0.7077,13.356,0.029434,0.599715,0.3889,13.45,4,0.869,1.9e-05,4.1152,1417
16,BTCUSDT-BNBUSDT,BTCUSDT,BNBUSDT,79.41,100,40,61,0.6557,10.903,0.03082,0.860249,0.3158,15.94,4,0.8725,0.000263,0.3838,1499
17,LINKUSDT-AAVEUSDT,LINKUSDT,AAVEUSDT,79.37,100,53,76,0.6974,14.446,0.033173,0.660945,0.3158,14.67,4,0.8233,4e-06,0.8372,1499
18,DOTUSDT-ATOMUSDT,DOTUSDT,ATOMUSDT,79.27,100,52,70,0.7429,14.174,0.014489,0.881957,0.3158,13.22,4,0.7929,0.0,1.4181,1499
19,DOTUSDT-APTUSDT,DOTUSDT,APTUSDT,79.19,180,43,61,0.7049,15.131,0.009793,0.670378,0.2857,12.84,4,0.8891,0.003209,2.7009,1277
20,LTCUSDT-ETCUSDT,LTCUSDT,ETCUSDT,79.17,100,48,64,0.75,13.084,0.025651,0.691409,0.3158,10.86,4,0.875,1e-06,3.3513,1499
21,LTCUSDT-FILUSDT,LTCUSDT,FILUSDT,79.16,100,36,57,0.6316,9.813,0.034347,0.478527,0.3158,16.01,4,0.8711,0.0,0.3688,1499
22,XRPUSDT-LTCUSDT,XRPUSDT,LTCUSDT,79.11,130,48,65,0.7385,13.383,0.034509,0.725006,0.2632,14.03,4,0.9705,0.0,1.2358,1499
23,DOTUSDT-SNXUSDT,DOTUSDT,SNXUSDT,78.77,100,45,61,0.7377,12.266,0.022731,0.647538,0.2632,15.11,4,0.9004,8e-06,1.2159,1499
24,AVAXUSDT-SNXUSDT,AVAXUSDT,SNXUSDT,78.73,100,45,63,0.7143,12.266,0.024031,0.818567,0.2632,16.11,4,0.894,0.000396,1.9417,1499
25,ETCUSDT-ARBUSDT,ETCUSDT,ARBUSDT,78.57,180,34,49,0.6939,14.064,0.008067,0.576802,0.25,30.06,4,0.9213,0.00712,0.6379,1122
26,ADAUSDT-ATOMUSDT,ADAUSDT,ATOMUSDT,78.55,100,43,65,0.6615,11.721,0.024006,0.913849,0.2632,13.36,4,0.9107,3e-06,1.1736,1499
27,NEARUSDT-SNXUSDT,NEARUSDT,SNXUSDT,78.49,100,51,69,0.7391,13.901,0.028599,0.835498,0.2632,14.01,4,0.8544,3.6e-05,2.8671,1499
28,ETCUSDT-SEIUSDT,ETCUSDT,SEIUSDT,78.3,100,28,37,0.7568,12.502,0.024426,0.481861,0.2727,20.37,4,0.788,0.000344,0.4065,977
29,DOTUSDT-ARBUSDT,DOTUSDT,ARBUSDT,78.26,100,36,51,0.7059,13.654,0.01772,0.694541,0.2308,13.25,4,0.932,3.4e-05,1.7129,1122
30,UNIUSDT-ETCUSDT,UNIUSDT,ETCUSDT,78.19,130,47,72,0.6528,13.104,0.012784,1.063847,0.2632,12.68,4,0.8609,0.0,0.3775,1499
31,NEARUSDT-OPUSDT,NEARUSDT,OPUSDT,78.07,155,44,61,0.7213,13.359,0.022468,0.655185,0.2353,16.77,4,0.8843,0.003944,2.7223,1417
32,NEARUSDT-IMXUSDT,NEARUSDT,IMXUSDT,77.88,100,50,70,0.7143,13.629,0.022808,0.751516,0.2105,15.16,4,0.942,4.1e-05,2.3952,1499
33,APTUSDT-IMXUSDT,APTUSDT,IMXUSDT,77.88,100,43,58,0.7414,14.048,0.02491,0.743863,0.1333,14.0,4,0.9799,0.000824,2.2871,1277
34,FILUSDT-IMXUSDT,FILUSDT,IMXUSDT,77.72,155,41,61,0.6721,11.654,0.012857,0.671141,0.2222,15.45,4,0.9065,2.3e-05,1.4194,1499
35,ETHUSDT-BNBUSDT,ETHUSDT,BNBUSDT,77.67,155,43,64,0.6719,12.222,0.017581,1.218218,0.0,27.47,4,0.9799,0.00229,-0.298,1499
36,FILUSDT-OPUSDT,FILUSDT,OPUSDT,77.62,155,42,58,0.7241,12.752,0.014014,0.649893,0.1765,16.79,4,0.9366,5e-05,2.0527,1417
37,OPUSDT-INJUSDT,OPUSDT,INJUSDT,77.58,130,40,59,0.678,11.897,0.023691,0.698003,0.2353,17.21,4,0.8285,0.000231,2.1339,1417
38,ATOMUSDT-NEARUSDT,ATOMUSDT,NEARUSDT,77.57,100,53,72,0.7361,14.446,0.024738,0.632354,0.1579,19.21,4,0.9275,0.000372,0.7051,1499
39,RUNEUSDT-SEIUSDT,RUNEUSDT,SEIUSDT,77.57,155,23,31,0.7419,11.01,0.019245,0.679548,0.0,19.49,4,0.9279,0.003356,1.7984,977
40,DOTUSDT-INJUSDT,DOTUSDT,INJUSDT,77.53,210,45,64,0.7031,13.363,0.012575,0.477849,0.0,36.25,4,0.9216,0.009166,-0.2258,1499
41,AVAXUSDT-IMXUSDT,AVAXUSDT,IMXUSDT,77.53,180,49,68,0.7206,14.204,0.010936,0.773063,0.0,17.17,4,0.922,7.7e-05,0.6343,1499
42,DOTUSDT-LINKUSDT,DOTUSDT,LINKUSDT,77.51,130,48,73,0.6575,13.383,0.013321,0.83264,0.0,26.22,4,0.9705,0.000143,1.2313,1499
43,LTCUSDT-NEARUSDT,LTCUSDT,NEARUSDT,77.5,130,48,70,0.6857,13.383,0.026704,0.459189,0.0,22.54,4,0.9341,0.001266,0.7166,1499
44,BNBUSDT-SOLUSDT,BNBUSDT,SOLUSDT,77.49,100,44,62,0.7097,11.993,0.030212,0.410371,0.1053,18.43,4,0.915,2.4e-05,1.311,1499
45,ADAUSDT-APTUSDT,ADAUSDT,APTUSDT,77.49,100,39,56,0.6964,12.741,0.027989,0.685906,0.3333,15.48,4,0.8853,0.008112,4.612,1277
46,OPUSDT-SNXUSDT,OPUSDT,SNXUSDT,77.49,100,44,61,0.7213,12.775,0.027151,0.877213,0.2222,19.06,4,0.8343,0.001424,1.4944,1417
47,DOTUSDT-UNIUSDT,DOTUSDT,UNIUSDT,77.47,100,48,67,0.7164,13.084,0.028096,0.702616,0.1579,15.29,4,0.9116,3e-06,2.4071,1499
48,BNBUSDT-ADAUSDT,BNBUSDT,ADAUSDT,77.45,100,35,55,0.6364,9.54,0.041037,0.448576,0.3684,13.25,4,0.8089,0.000139,4.4392,1499
49,ATOMUSDT-JUPUSDT,ATOMUSDT,JUPUSDT,77.45,180,18,27,0.6667,11.554,0.018241,0.699908,0.1429,15.81,4,0.9491,0.001861,0.4863,808
50,ETHUSDT-LINKUSDT,ETHUSDT,LINKUSDT,77.4,100,41,62,0.6613,11.176,0.018289,0.749382,0.0526,30.33,4,0.9468,8.8e-05,0.4083,1499
